Marlene Dietrich,Dietrich
Carole Lombard,Lombard
Jean Harlow,Harlow
Ginger Rogers,Rogers
Mary Pickford,Pickford
Mae West,West
Gillian Anderson,Anderson
Emma Watson,Watson
Meg Ryan,Ryan
Alan Arkin,Arkin
Benedict Cumberbatch,Cumberbatch
Chris Hemsworth,Hemsworth
Henry Cavill,Cavill
Tom Hardy,Hardy
Jean Dujardin,Dujardin
Colin Firth,Firth
Jamie Foxx,Foxx
Adrien Brody,Brody
Roberto Benigni,Benigni
Jeremy Irons,Irons
William Hurt,Hurt
F. Murray Abraham,Abraham
Richard Dreyfuss,Dreyfuss
Peter Fincham,Fincham
Art Carney,Carney
Cliff Robertson,Robertson
Rod Steiger,Steiger
Chris Pratt,Pratt
Meat Loaf,Loaf
Rex Harrison,Harrison
Maximilian Schell,Schell
David Niven,Niven
Yul Brynner,Brynner
Ernest Borgnine,Borgnine
Anna Kendrick,Kendrick
Emily Watson,Watson
Helena Bonham Carter,Carter
Keira Knightley,Knightley
Alexis Thorpe,Thorpe
Marion Davies,Davies
Scarlett Johansson,Johansson
Dakota Fanning,Fanning
Jennifer Aniston,Aniston
Jennifer Connelly,Connelly
Rachel McAdams,McAdams
Carey Mulligan,Mulligan
Mila Kunis,Kunis
Amanda Seyfried,Seyfried
Jennifer Lopez,Lopez
Neve Campbell,Campbell
Fairuza Balk,Balk
Jessica Alba,Alba
Kristen Stewart,Stewart
Julie Walters,Walters
Rooney Mara,Mara
Jamie Lee Curtis,Curtis
Emma Stone,Stone
Kirsten Dunst,Dunst
Broderick Crawford,Crawford
Ronald Colman,Colman
Fredric March,March
Ray Milland,Milland
Bing Crosby,Crosby
Paul Lukas,Lukas
Paul Muni,Muni
Andrew V. McLaglen,McLaglen
Charles Laughton,Laughton
Wallace Beery,Beery
Kurt Russell,Russell
Lionel Barrymore,Barrymore
Jeff Goldblum,Goldblum
Warner Baxter,Baxter
Emil Jannings,Jannings
Drew Phillips,Phillips
Jim Broadbent,Broadbent
James Coburn,Coburn
Cuba Gooding Jr.,Jr.
Martin Landau,Landau
Jack Palance,Palance
Kevin Kline,Kline
Don Ameche,Ameche
Kate Beckinsale,Beckinsale
Zooey Deschanel,Deschanel
Michelle Williams,Williams
Milla Jovovich,Jovovich
Selena Gomez,Gomez
Rachel Weisz,Weisz
Lauralee Bell,Bell
Katherine Heigl,Heigl
Liv Tyler,Tyler
Jessica Chastain,Chastain
Megan Fox,Fox
Betty White,White
Geraldine Page,Page
Eliza Dushku,Dushku
Robin Wright,Wright
Leighton Meester,Meester
Viola Davis,Davis
Shirley Temple,Temple
Julia Louis-Dreyfus,Louis-Dreyfus
Olivia Thirlby,Thirlby
Cheryl Yang,Yang
Louise Fletcher,Fletcher
Julie Christie,Christie
Patricia Neal,Neal
Haing S. Ngor,Ngor
Louis Gossett Jr.,Jr.
John Gielgud,Gielgud
Timothy Hutton,Hutton
Melvyn Douglas,Douglas
Jason Robards,Robards
George Burns,Burns
John Houseman,Houseman
Ethan Hawke,Hawke
Ben Johnson,Johnson
John Scott Mills,Mills
Gig Young,Young
Jack Albertson,Albertson
George Kennedy,Kennedy
Walter Matthau,Matthau
Martin Balsam,Balsam
Peter Ustinov,Ustinov
Ed Begley Jr.,Jr.
George Chakiris,Chakiris
Adrian G. Griffiths,Griffiths
Burl Ives,Ives
Red Buttons,Buttons
Anthony Tyler Quinn,Quinn
Edmond O\Brien,O\Brien
Frank Sinatra Jr.,Jr.
Anne Bancroft,Bancroft
Kim Novak,Novak
Simone Signoret,Signoret
Ellen Page,Page
Angela Lansbury,Lansbury
Judy Holliday,Holliday
Loretta Young,Young
Vera Farmiga,Farmiga
Helen Hayes,Hayes
Marie Dressler,Dressler
Janet Gaynor,Gaynor
Lupita Nyong\o,Nyong\o
Octavia Spencer,Spencer
Melissa De Leon,Leon
Mo\Nique
Marlee Matlin,Matlin
Tilda Swinton,Swinton
Jennifer Hudson,Hudson
Marcia Gay Harden,Harden
Anna Paquin,Paquin
Marisa Tomei,Tomei
Mercedes Ruehl,Ruehl
Brenda Fricker,Fricker
Jean Renoir,Renoir
George Sanders,Sanders
Dean S. Jagger,Jagger
Walter Huston,Huston
Edmund Gwenn,Gwenn
Harold Russell,Russell
Hugh Grant,Grant
Barry Fitzgerald,Fitzgerald
Charles Coburn,Coburn
Van Heflin,Heflin
Donald Crisp,Crisp
Walter Brennan,Brennan
Joseph Schildkraut,Schildkraut
Keanu Reeves,Reeves
Channing Tatum,Tatum
Hugh Jackman,Jackman
Dwayne Johnson,Johnson
Adam Sandler,Sandler
Daniel Radcliffe,Radcliffe
Daniel Craig,Craig
Ryan Gosling,Gosling
Kevin Nash,Nash
Ben Affleck,Affleck
Chris Pine,Pine
Olympia Dukakis,Dukakis
Peggy Ashcroft,Ashcroft
Linda Hunt,Hunt
Maureen Stapleton,Stapleton
Mary Steenburgen,Steenburgen
Beatrice Straight,Straight
Vanessa Redgrave,Redgrave
Rod Grant,Grant
Eileen Heckart,Heckart
Cloris Leachman,Leachman
Ruth Gordon,Gordon
Estelle Parsons,Parsons
Shelley Winters,Winters
Maggie Gyllenhaal,Gyllenhaal
Katie Holmes,Holmes
Patty Duke,Duke
Rita Moreno,Moreno
Wendy Hiller,Hiller
Miyoshi Umeki,Umeki
Dorothy Malone,Malone
Jo Van Fleet,Fleet
Eva Marie Saint,Saint
Gloria Grahame,Grahame
Kim Hunter,Hunter
Andrew Garfield,Garfield
Jeremy Renner,Renner
Steve Carell,Carell
Jake Gyllenhaal,Gyllenhaal
Chris Evans,Evans
Zach Galifianakis,Galifianakis
Bill Ferrell,Ferrell
Shia LaBeouf,LaBeouf
Seth Rogen,Rogen
Joseph Gordon-Levitt,Gordon-Levitt
Ryan Reynolds,Reynolds
Paul Ruddy,Ruddy
Jason Segel,Segel
Jason Statham,Statham
Justin Timberlake,Timberlake
Dick Van Dyke,Dyke
Zac Efron,Efron
Jesse Eisenberg,Eisenberg
Owen Wilson,Wilson
Jason Bateman,Bateman
Tyler Perry,Perry
Liam Hemsworth,Hemsworth
William Shatner,Shatner
Shahrukh Adnan,Adnan
Thora Birch,Birch
Claire Trevor,Trevor
Celeste Holm,Holm
Anne Baxter,Baxter
Queen Latifah,Latifah
Ethel Barrymore,Barrymore
Rosario Dawson,Dawson
Teresa Wright,Wright
Mary Astor,Astor
Jane Darwell,Darwell
Alicia Vikander,Vikander
Mia Wasikowska,Wasikowska
Abigail Breslin,Breslin
Gale Sondergaard,Sondergaard
Melissa McCarthy,McCarthy
Tina Fey,Fey
Zoe Saldana,Saldana
Elisabeth Moss,Moss
Adrianne Palicki,Palicki
Jennifer Garner,Garner
Kristen Wiig,Wiig
June Squibb,Squibb
Sally Hawkins,Hawkins
Kaley Cuoco,Cuoco
Naomi Watts,Watts
Josh Hutcherson,Hutcherson
Charlie Hunnam,Hunnam
Nicholas Hoult,Hoult
Aaron Taylor-Johnson,Taylor-Johnson
Bryan Cranston,Cranston
Gerard Butler,Butler
Paul Walker,Walker
Karl Urban,Urban
Logan Lerman,Lerman
Dave Franco,Franco
Tom Hiddleston,Hiddleston
Peter Dinklage,Dinklage
Taylor Kitsch,Kitsch
Alex Pettyfer,Pettyfer
Guy Pearce,Pearce
Mark Ruffalo,Ruffalo
Mickey Rourke,Rourke
Frank Langella,Langella
Eddie Redmayne,Redmayne
David Strathairn,Strathairn
Terrence Howard,Howard
Don Cheadle,Cheadle
Tom Wilkinson,Wilkinson
Richard Farnsworth,Farnsworth
Nick Nolte,Nolte
AnnaSophia Robb,Robb
Gemma Arterton,Arterton
Olivia Wilde,Wilde
Isla Fisher,Fisher
Shailene Woodley,Woodley
Rebel Wilson,Wilson
Emma Elle Roberts,Roberts
Amber Heard,Heard
Teresa Palmer,Palmer
Saoirse Ronan,Ronan
Elizabeth Banks,Banks
Ida Lupino,Lupino
Natalie Dormer,Dormer
Brittany Snow,Snow
Kate O\Mara,O\Mara
Julianne Hough,Hough
Lily Collins,Collins
Cobie Smulders,Smulders
Alice Eve,Eve
Jamie Chung,Chung
Noomi Rapace,Rapace
Blake Lively,Lively
Maggie Grace,Grace
Jessica Biel,Biel
Eva Green,Green
Peter Fonda,Fonda
Woody Harrelson,Harrelson
Billy Bob Thornton,Thornton
Idris Elba,Elba
Nigel Hawthorne,Hawthorne
Laurence Fishburne,Fishburne
Stephen Rea,Rea
Warren Beatty,Beatty
Burt Young,Young
Kenneth Branagh,Branagh
Edward James Olmos,Olmos
Max von Sydow,Sydow
Marcello Mastroianni,Mastroianni
Bob Hoskins,Hoskins
James A. Woods,Woods
Johnny Hawkes,Hawkes
James Garner,Garner
Sam Waterston,Waterston
Tom Hulce,Hulce
Albert Finney,Finney
Tom Conti,Conti
Tom Courtenay,Courtenay
Dudley Moore,Moore
John Hurt,Hurt
Kat Dennings,Dennings
Priyanka Chopra,Chopra
Emmanuelle Riva,Riva
Greta Gerwig,Gerwig
Brie Larson,Larson
Jessica Lucas,Lucas
Liv Ullmann,Ullmann
Maria Falconetti,Falconetti
Setsuko Hara,Hara
Rosalind Russell,Russell
Linda Fiorentino,Fiorentino
Gabourey Sidibe,Sidibe
Catherine Deneuve,Deneuve
Mia Farrow,Farrow
Audrey Tautou,Tautou
Jeanne Moreau,Moreau
Isabelle Huppert,Huppert
Gena Rowlands,Rowlands
Lesley Manville,Manville
Elizabeth Olsen,Olsen
Nastassja Kinski,Kinski
Whitney Houston,Houston
Felicity Huffman,Huffman
Imelda Staunton,Staunton
Oscar Isaac,Isaac
Jon Heder,Heder
Miles Teller,Teller
James Gandolfini,Gandolfini
Michael B. Jordan,Jordan
Anthony Perkins,Perkins
David Thewlis,Thewlis
Klaus Kinski,Kinski
Malcolm McDowell,McDowell
Ray Winstone,Winstone
Jean-Paul Belmondo,Belmondo
Andy Serkis,Serkis
Matthew Broderick,Broderick
Dennis Hopper,Hopper
Michael Rooker,Rooker
Vincent Gallo,Gallo
Vincent Cassel,Cassel
J.K. Simmons,Simmons
Boris Karloff,Karloff
Peter Lorre,Lorre
Antonio Banderas,Banderas
Paddy Considine,Considine
Ryan Phillippe,Phillippe
Kerry Washington,Washington
Carrie-Anne Moss,Moss
Janet Leigh,Leigh
Catalina Sandino Moreno,Moreno
Samantha Morton,Morton
Keisha Castle-Hughes,Castle-Hughes
Salma Hayek,Hayek
Joan Allen,Allen
Janet McTeer,McTeer
Fernanda Montenegro,Montenegro
Kristin Scott Thomas,Thomas
Brenda Blethyn,Blethyn
Elisabeth Shue,Shue
Miranda Richardson,Richardson
Stockard Channing,Channing
Angela Bassett,Bassett
Mary McDonnell,McDonnell
Lucille Ball,Ball
Laura Dern,Dern
Pauline Collins,Collins
Isabelle Adjani,Adjani
Melanie Griffith,Griffith
Sally Kirkland,Kirkland
Eva Alexander,Alexander
Marsha Mason,Mason
Freddie Highmore,Highmore
Michael J. Fox,Fox
Eddie Murphy,Murphy
Chow Yun-Fat,Yun-Fat
Seth MacFarlane,MacFarlane
Godfrey Ho,Ho
Lindsi Jeter,Jeter
Chuck Norris,Norris
Jean-Claude Van Damme,Damme
Sam Rockwell,Rockwell
Takashi Shimura,Shimura
Richard E. Grant,Grant
Leslie Nielsen,Nielsen
Simon Pegg,Pegg
John Malkovich,Malkovich
Shannon Michael Wamser,Wamser
Martin Sheen,Sheen
Christopher Guest,Guest
Allen Lewis Rickman,Rickman
Jackie Earle Haley,Haley
Montgomery Clift,Clift
James Spader,Spader
Eric Bana,Bana
Romain Duris,Duris
Robert Shaw,Shaw
Jacki Weaver,Weaver
Hailee Steinfeld,Steinfeld
Jennifer Jason Leigh,Leigh
Kathleen Quinlan,Quinlan
Taraji P. Henson,Henson
Amy Ryan,Ryan
Ruby Dee,Dee
Jill Clayburgh,Clayburgh
Adriana Barraza,Barraza
Rinko Kikuchi,Kikuchi
Catherine Keener,Keener
Charlotte Rampling,Rampling
Sophie Okonedo,Okonedo
Patricia Clarkson,Clarkson
Shohreh Aghdashloo,Aghdashloo
Lindsay Lohan,Lohan
Michelle Trachtenberg,Trachtenberg
Lynn Redgrave,Redgrave
Rachel Griffiths,Griffiths
Margot Robbie,Robbie
Lili Taylor,Taylor
Robin Weigert,Weigert
Lake Bell,Bell
Claude Rains,Rains
Steve Buscemi,Buscemi
John Rhys-Davies,Rhys-Davies
Jean-Louis Trintignant,Trintignant
Joseph Cotten,Cotten
Barry Pepper,Pepper
Erich von Stroheim,Stroheim
Pat Wilson,Wilson
Christopher Lloyd,Lloyd
Ben Foster,Foster
Joel McCrea,McCrea
Choi Min-sik,Min-sik
Ewan McGregor,McGregor
Bruno Ganz,Ganz
Sean Astin,Astin
Irrfan Khan,Khan
Antonio Cantafora,Cantafora
Roy Scheider,Scheider
Casey Affleck,Affleck
Gary Busey,Busey
Norman Reedus,Reedus
Jeff Daniels,Daniels
Stanley Tucci,Tucci
Kiefer Sutherland,Sutherland
Dakota Johnson,Johnson
Julie Delpy,Delpy
Linda Hamilton,Hamilton
Carrie Fisher,Fisher
Pam Grier,Grier
Emily Browning,Browning
Juliette Lewis,Lewis
Sarah Jessica Parker,Parker
Piper Laurie,Laurie
Miley Cyrus,Cyrus
Lily Tomlin,Tomlin
Anna Friel,Friel
Gloria Stuart,Stuart
Talia Shire,Shire
Gal Gadot,Gadot
Sue Lyon,Lyon
Olivia Newton-John,Newton-John
Minnie Driver,Driver
Teri Garr,Garr
Keri Russell,Russell
Jean Seberg,Seberg
Sarah Polley,Polley
Kate Capshaw,Capshaw
Josh Brolin,Brolin
Hal Holbrook,Holbrook
Djimon Hounsou,Hounsou
Matt Dillon,Dillon
Alan Alda,Alda
Thomas Haden Church,Church
Clive Owen,Owen
Ken Watanabe,Watanabe
Suraj Sharma,Sharma
John C. Reilly,Reilly
Michael Clarke Duncan,Duncan
Haley Joel Osment,Osment
Greg Kinnear,Kinnear
Burt Reynolds,Reynolds
Robert Forster,Forster
Jason Schwartzman,Schwartzman
William H. Macy,Macy
Armin Mueller-Stahl,Mueller-Stahl
Tim Roth,Roth
James Cromwell,Cromwell
Chazz Palminteri,Palminteri
Gary Sinise,Sinise
Paul Scofield,Scofield
Pete Postlethwaite,Postlethwaite
Mads Mikkelsen,Mikkelsen
Jada Pinkett Smith,Smith
Tatum O\Neal,O\Neal
Anna Faris,Faris
Ashley Greene,Greene
Famke Janssen,Janssen
Rosamund Pike,Pike
Bonnie Hunt,Hunt
Leslie Mann,Mann
Mindy Kaling,Kaling
Analeigh Tipton,Tipton
Thandie Newton,Newton
Amanda Peet,Peet
Julia Stiles,Stiles
Eva Mendes,Mendes
Emily Blunt,Blunt
